name,lat,long
Duren Kalibata,-6.2552012,106.8551672
Cawang,-6.2425517,106.8586903
Tebet,-6.2263977,106.8584389
Buaran,-6.2156064,106.92316
Kramat,-6.1936203,106.8565119
Pesing,-6.1612525,106.7719077
ASEAN,-6.2387737,106.7984457
Jatinegara,-6.2149252,106.8703394
Gondangdia,-6.1859109,106.8325657
Pondok Jati,-6.2091242,106.8623419
Manggarai,-6.2101704,106.849935
Cikini,-6.1985052,106.8412799
Tanah Abang,-6.1857127,106.8108938
Pasar Senen,-6.1744233,106.8445744
Palmerah,-6.2071372,106.7975907
Pasar Minggu Baru,-6.262798,106.8517957
Juanda,-6.1666746,106.8304609
Gambir,-6.1766553,106.8306473
Kemayoran,-6.1617033,106.8414012
Klender,-6.2133188,106.8994133
Klender Baru,-6.2176591,106.9401833
Kalideres,-6.1659662,106.7037283
Taman Mini,-6.2928955,106.8806355
BNI City,-6.2016259,106.819866
Universitas Pancasila,-6.3393452,106.834263
Gang Sentiong,-6.1861531,106.8508709
Sawah Besar,-6.1606672,106.8276549
Sudirman,-6.2024081,106.8234493
Tanjung Barat,-6.3080407,106.8389492
Angke,-6.1447372,106.8007792
Rajawali,-6.1450996,106.8368325
Duri,-6.1552764,106.8012968
Mangga Besar,-6.1498037,106.8269826
Pasar Minggu,-6.2833322,106.8448558
Jayakarta,-6.1412999,106.8231322
Lenteng Agung,-6.3303079,106.8346791
Tanjung Priuk,-6.1105923,106.8816237
Rawa Buaya,-6.1627437,106.7227543
Jakarta Kota,-6.1375828,106.8146203
Grogol,-6.162071,106.7888748
Kebayoran,-6.23723,106.7825345
Taman Kota,-6.158627,106.7565728
Ancol,-6.128115,106.8451374
Jakarta Gudang,-6.133327,106.819373
Taman Anggrek,-6.3009221,106.8995689
Taman Budaya,-6.3016032,106.8926447
Taman Bunga,-6.3037622,106.894725
Taman Burung,-6.3008145,106.9026373
Taman Nusa,-6.3007783,106.8951092
Taman Wisata,-6.3036772,106.9003023
Kampung Bandan,-6.1327023,106.8284875
Halim,-6.2456363,106.8844854
Boulevard Utara,-6.1594366,106.9059815
Boulevard Selatan,-6.1689933,106.9000145
Pulomas,-6.1773105,106.8933929
Equestrian,-6.1840567,106.8912789
Velodrome,-6.1921316,106.8911771
Pegangsaan Dua,-6.1572135,106.9142091
Bundaran HI Bank DKI,-6.1918644,106.8230084
Dukuh Atas BNI,-6.2007957,106.822788
Setiabudi ASTRA,-6.2090648,106.8216945
Bendungan Hilir,-6.2150263,106.8179484
Istora Mandiri,-6.22239,106.8086229
Senayan Mastercard,-6.2267337,106.8024926
Blok M BCA,-6.2444643,106.7981332
Blok A,-6.2557793,106.7971403
Haji Nawi,-6.2666947,106.7973262
Cipete Raya Tuku,-6.2783596,106.7973159
Fatmawati Indomaret,-6.2924511,106.7924644
Lebak Bulus,-6.2892744,106.7749355
Cikoko,-6.2434846,106.8570718
Pancoran Bank BJB,-6.2421415,106.8385146
Setiabudi,-6.2093184,106.8302209
Rasuna Said,-6.2216089,106.8322373
Kampung Rambutan,-6.3095494,106.8843804
Matraman,-6.2125672,106.8597528
Sungai Lagoa,-6.1110901,106.8792739
Pasoso,-6.1093399,106.8840579
Kuningan,-6.2287727,106.8332031
Ciracas,-6.3237693,106.8867399
Dukuh Atas BNI,-6.204828,106.8255301
Ciliwung,-6.2434448,106.8639705
Halim,-6.2458656,106.8872875
Rawamangun,-6.193143,106.8825717
Bojong Indah,-6.1602142,106.7361338
Pasar Seni,-6.1281326,106.8388934
Bende,-6.1193705,106.8526592
Beach Pool,-6.1209006,106.8476837
Gerbang Timur,-6.1230288,106.8445683
Sea World,-6.1271525,106.8415944
Dunia Fantasi,-6.1272202,106.8336035
Marina,-6.1269212,106.8312049
Harmoni,-6.1657061,106.8202694
Sawah Besar,-6.160577,106.8191152
Mangga Besar,-6.1512042,106.8173046
Glodok,-6.1455291,106.8157418
Cawang,-6.245907,106.8712296
Thamrin,-6.183315,106.8230493
Monas,-6.1772556,106.8234085
Jakarta Kota,-6.1393051,106.8140248
Manggarai,-6.2085222,106.8453489
Depok Baru,-6.3911293,106.8216412
Citayam,-6.4488237,106.8023619
Pondok Rajeg,-6.4607829,106.824296
Depok,-6.4048263,106.8170842
Universitas Indonesia,-6.3604315,106.831782
Pondok Cina,-6.3690593,106.8320844
Harjamukti,-6.3739095,106.8956745
Batutulis,-6.6261433,106.8097396
Ciomas,-6.663597,106.8170161
Bogor,-6.5942887,106.7907695
Bogor Paledang,-6.5978118,106.7906486
Tanah Tinggi,-6.1751701,106.6467095
Tangerang,-6.1769753,106.6320106
Poris,-6.1697346,106.6807523
Batu Ceper,-6.1720268,106.6652866
Bandara Soekarno-Hatta,-6.1272786,106.6525156
Terminal 3,-6.119762155933407,106.66514874357038
Terminal 2,-6.123127265188604,106.65301424441513
Terminal 1,-6.130303578577627,106.65583635944411
Kranji,-6.2245133,106.9798267
Bekasi,-6.2362143,106.9987436
Cakung,-6.219081,106.9524791
Bekasi Timur,-6.246862,107.0182065
Bekasi Barat,-6.2529489,106.9904237
Cikunir 2,-6.2546849,106.9632233
Cikunir 1,-6.2566001,106.9518734
Jatibening Baru,-6.2577476,106.9279199
